Driver,WeightDistribution,Aero,RearHeight,WheelSize,AbsoluteDelta,RunOrder
-1,-1,-1,-1,-1,4,8
1,-1,-1,-1,-1,3.875,13
-1,1,-1,-1,-1,10.625,10
1,1,-1,-1,-1,4.125,29
-1,-1,1,-1,-1,3.625,6
1,-1,1,-1,-1,3.25,20
-1,1,1,-1,-1,2.75,12
1,1,1,-1,-1,2.5,17
-1,-1,-1,1,-1,11.375,21
1,-1,-1,1,-1,8.875,31
-1,1,-1,1,-1,9.75,18
1,1,-1,1,-1,12.5,7
-1,-1,1,1,-1,3.25,1
1,-1,1,1,-1,4.25,24
-1,1,1,1,-1,6.625,32
1,1,1,1,-1,6.625,22
-1,-1,-1,-1,1,7.5,16
1,-1,-1,-1,1,8.25,2
-1,1,-1,-1,1,10.875,28
1,1,-1,-1,1,10,14
-1,-1,1,-1,1,7.125,9
1,-1,1,-1,1,5.75,30
-1,1,1,-1,1,9,15
1,1,1,-1,1,7.875,5
-1,-1,-1,1,1,19.25,11
1,-1,-1,1,1,18.125,23
-1,1,-1,1,1,23.5,25
1,1,-1,1,1,24.5,4
-1,-1,1,1,1,20.125,27
1,-1,1,1,1,19.875,19
-1,1,1,1,1,25.25,3
1,1,1,1,1,24.25,26
