x1,x2,x3,x4,x5,,,,,,Average,Range,7,4,,X bar UCL,11.429
9,6,14,12,6,,,,,,9.4,8,7.39,3.428622835,,X Bar Center,7.39
10,11,11,7,8,,,,,,9.4,4,,,,X Bar LCL,3.351
2,6,4,9,15,,,,,,7.2,13,,,,,
7,3,6,4,9,,,,,,5.8,6,A2,0.577,,R Chart UCL,14.79
6,3,7,7,7,,,,,,6,4,D3,0,,R Chart Center,7
8,5,5,9,13,,,,,,8,8,D4,2.114,,R Chart LCL,0
4,10,8,8,4,,,,,,6.8,6,,,,,
8,6,14,9,10,,,,,,9.4,8,,,,,
12,10,12,10,4,,,,,,9.6,8,,,,,
4,7,3,4,2,,,,,,4,5,,,,,
7,4,9,10,10,,,,,,8,6,,,,,
5,12,8,10,10,,,,,,9,7,,,,,
6,6,11,6,6,,,,,,7,5,,,,,
6,6,8,12,4,,,,,,7.2,8,,,,,
7,13,9,7,10,,,,,,9.2,6,,,,,
7,12,1,2,7,,,,,,5.8,11,,,,,
1,5,8,9,13,,,,,,7.2,12,,,,,
12,3,1,13,5,,,,,,6.8,12,,,,,
9,3,7,4,1,,,,,,4.8,8,,,,,
5,8,15,2,6,,,,,,7.2,13,7.39,7.9,,,
